Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,Month
2021-02-15,Vitamin C,Vitamin,126,33.81,3407.84,0.2,3,Canada,Amazon,2
2021-02-15,Fish Oil,Omega,106,42.53,3606.63,0.2,3,Canada,iHerb,2
2021-02-15,Multivitamin,Vitamin,123,41.9,3607.43,0.3,2,USA,Walmart,2
2021-02-15,Pre-Workout,Performance,106,32.06,3058.25,0.1,1,UK,Amazon,2
2021-02-15,BCAA,Amino Acid,126,24.64,2483.57,0.2,1,Canada,Amazon,2
2021-02-15,Creatine,Performance,140,42.48,4162.75,0.3,2,USA,Walmart,2
2021-02-15,Zinc,Mineral,96,48.58,3731.28,0.2,4,UK,iHerb,2
2021-02-15,Magnesium,Mineral,144,22.83,2301.36,0.3,3,UK,Amazon,2
2021-02-15,Probiotic,Digestive,109,42.45,3470.22,0.25,3,Canada,Amazon,2
2021-02-15,Ashwagandha,Herbal,88,26.63,2343.81,0.0,2,USA,iHerb,2
2021-02-15,Melatonin,Sleep Aid,116,30.27,2808.59,0.2,4,USA,iHerb,2
2021-02-15,Biotin,Vitamin,115,38.63,3554.36,0.2,1,UK,iHerb,2
2021-02-15,Green Tea Extract,Fat Burner,139,26.72,2785.21,0.25,3,USA,Amazon,2
2021-02-15,Iron Supplement,Mineral,93,21.45,1994.48,0.0,1,Canada,Amazon,2
2021-02-15,Electrolyte Powder,Hydration,153,18.09,2213.97,0.2,5,USA,Walmart,2
2021-02-22,Whey Protein,Protein,108,43.24,4436.25,0.05,5,UK,Walmart,2
2021-02-22,Vitamin C,Vitamin,142,19.33,2196.05,0.2,4,Canada,Amazon,2
2021-02-22,Fish Oil,Omega,89,40.25,3045.2,0.15,2,USA,Amazon,2
2021-02-22,Multivitamin,Vitamin,67,47.52,3184.0,0.0,3,USA,Walmart,2
2021-02-22,Pre-Workout,Performance,77,41.84,3221.86,0.0,2,Canada,Walmart,2
2021-02-22,BCAA,Amino Acid,89,42.28,3198.57,0.15,1,UK,Amazon,2
2021-02-22,Creatine,Performance,110,44.62,3926.12,0.2,3,USA,Walmart,2
2021-02-22,Zinc,Mineral,90,30.34,2594.4,0.05,2,UK,iHerb,2
2021-02-22,Magnesium,Mineral,62,40.5,2511.22,0.0,1,USA,Amazon,2
2021-02-22,Probiotic,Digestive,158,18.6,2057.71,0.3,4,USA,Amazon,2
2021-02-22,Ashwagandha,Herbal,72,31.61,2275.6,0.0,2,USA,Amazon,2
2021-02-22,Melatonin,Sleep Aid,92,28.83,2652.05,0.0,3,USA,Amazon,2
2021-02-22,Biotin,Vitamin,101,32.58,2632.34,0.2,1,Canada,Walmart,2
2021-02-22,Green Tea Extract,Fat Burner,83,45.3,3195.85,0.15,2,USA,iHerb,2
2021-02-22,Iron Supplement,Mineral,103,22.34,2300.68,0.0,1,UK,iHerb,2
2021-02-22,Electrolyte Powder,Hydration,110,29.28,2898.3,0.1,5,UK,iHerb,2
2021-03-01,Whey Protein,Protein,105,43.21,3402.95,0.25,5,UK,Walmart,3
2021-03-01,Vitamin C,Vitamin,75,23.36,1752.05,0.0,1,USA,Walmart,3
2021-03-01,Fish Oil,Omega,81,16.58,1275.9,0.05,3,UK,Amazon,3
2021-03-01,Multivitamin,Vitamin,82,25.55,1885.95,0.1,1,UK,Amazon,3
2021-03-01,Pre-Workout,Performance,93,25.17,2340.4,0.0,4,USA,Amazon,3
2021-03-01,BCAA,Amino Acid,73,47.34,2764.66,0.2,1,Canada,Amazon,3
2021-03-01,Creatine,Performance,83,28.71,2383.28,0.0,1,UK,Amazon,3
2021-03-01,Zinc,Mineral,44,46.88,2062.6,0.0,0,UK,Walmart,3
2021-03-01,Magnesium,Mineral,57,42.01,2274.71,0.05,1,Canada,Amazon,3
2021-03-01,Probiotic,Digestive,108,15.9,1459.34,0.15,3,UK,Amazon,3
2021-03-01,Ashwagandha,Herbal,51,43.32,1988.51,0.1,0,UK,Walmart,3
2021-03-01,Melatonin,Sleep Aid,72,21.75,1565.81,0.0,3,Canada,iHerb,3
2021-03-01,Biotin,Vitamin,56,41.34,2314.8,0.0,2,UK,Amazon,3
2021-03-01,Green Tea Extract,Fat Burner,52,32.53,1691.4,0.0,2,Canada,Amazon,3
2021-03-01,Iron Supplement,Mineral,43,49.18,2009.1,0.05,1,USA,Walmart,3
2021-03-01,Electrolyte Powder,Hydration,71,31.09,2207.27,0.0,3,USA,Amazon,3
2021-03-08,Whey Protein,Protein,100,21.0,2099.93,0.0,4,USA,iHerb,3
2021-03-08,Vitamin C,Vitamin,64,45.62,2627.69,0.1,2,USA,Amazon,3
2021-03-08,Fish Oil,Omega,99,43.24,2996.65,0.3,4,UK,Amazon,3
2021-03-08,Multivitamin,Vitamin,45,50.43,2269.24,0.0,1,UK,iHerb,3
2021-03-08,Pre-Workout,Performance,148,14.03,1453.09,0.3,7,Canada,iHerb,3
2021-03-08,BCAA,Amino Acid,62,31.65,1962.56,0.0,2,UK,Amazon,3
2021-03-08,Creatine,Performance,71,35.0,2485.03,0.0,2,USA,Walmart,3
2021-03-08,Zinc,Mineral,78,31.82,2234.09,0.1,2,Canada,iHerb,3
2021-03-08,Magnesium,Mineral,64,35.23,2141.75,0.05,1,USA,Walmart,3
2021-03-08,Probiotic,Digestive,122,14.13,1206.96,0.3,1,Canada,Walmart,3
2021-03-08,Ashwagandha,Herbal,56,40.83,1943.6,0.15,2,Canada,Amazon,3
2021-03-08,Melatonin,Sleep Aid,74,38.53,2280.73,0.2,1,UK,Amazon,3
2021-03-08,Biotin,Vitamin,69,25.4,1752.57,0.0,0,UK,Amazon,3
2021-03-08,Green Tea Extract,Fat Burner,61,45.7,2369.7,0.15,1,USA,Amazon,3
2021-03-08,Iron Supplement,Mineral,82,42.19,2594.72,0.25,3,Canada,Amazon,3
2021-03-08,Electrolyte Powder,Hydration,76,38.8,2654.17,0.1,1,UK,Walmart,3
2021-03-15,Whey Protein,Protein,88,23.83,2096.84,0.0,1,Canada,Amazon,3
2021-03-15,Vitamin C,Vitamin,74,45.19,2674.99,0.2,2,UK,iHerb,3
2021-03-15,Fish Oil,Omega,79,23.26,1653.88,0.1,2,UK,iHerb,3
2021-03-15,Multivitamin,Vitamin,87,44.49,2902.68,0.25,4,Canada,iHerb,3
2021-03-15,Pre-Workout,Performance,84,26.77,2248.44,0.0,1,Canada,Amazon,3
2021-03-15,BCAA,Amino Acid,53,38.64,2047.81,0.0,1,Canada,iHerb,3
2021-03-15,Creatine,Performance,80,37.83,2723.8,0.1,3,USA,Amazon,3
2021-03-15,Zinc,Mineral,91,45.57,3110.29,0.25,1,Canada,iHerb,3
2021-03-15,Magnesium,Mineral,119,18.28,1522.41,0.3,1,UK,iHerb,3
2021-03-15,Probiotic,Digestive,71,23.7,1682.92,0.0,3,UK,Walmart,3
2021-03-15,Ashwagandha,Herbal,45,45.18,2033.23,0.0,0,USA,Walmart,3
2021-03-15,Melatonin,Sleep Aid,54,34.03,1837.53,0.0,2,UK,Amazon,3
2021-03-15,Biotin,Vitamin,53,42.71,2263.74,0.0,1,Canada,iHerb,3
2021-03-15,Green Tea Extract,Fat Burner,79,18.94,1496.18,0.0,1,Canada,Amazon,3
2021-03-15,Iron Supplement,Mineral,53,38.41,2035.69,0.0,2,USA,Walmart,3
2021-03-15,Electrolyte Powder,Hydration,74,47.79,2829.34,0.2,0,Canada,iHerb,3
2021-03-22,Whey Protein,Protein,106,29.46,2654.11,0.15,2,UK,Amazon,3
2021-03-22,Vitamin C,Vitamin,37,47.0,1739.12,0.0,1,Canada,Walmart,3
2021-03-22,Fish Oil,Omega,91,23.21,1795.64,0.15,1,USA,iHerb,3
2021-03-22,Multivitamin,Vitamin,86,21.59,1763.69,0.05,3,USA,Walmart,3
2021-03-22,Pre-Workout,Performance,124,24.51,2279.09,0.25,2,Canada,iHerb,3
2021-03-22,BCAA,Amino Acid,128,13.59,1304.31,0.25,3,USA,iHerb,3
2021-03-22,Creatine,Performance,99,46.82,3476.18,0.25,4,Canada,Amazon,3
2021-03-22,Zinc,Mineral,83,22.09,1741.95,0.05,1,UK,Amazon,3
2021-03-22,Magnesium,Mineral,62,36.28,2136.79,0.05,0,USA,Walmart,3
2021-03-22,Probiotic,Digestive,84,23.15,1847.02,0.05,0,Canada,Amazon,3
2021-03-22,Ashwagandha,Herbal,52,33.68,1751.46,0.0,1,Canada,Walmart,3
2021-03-22,Melatonin,Sleep Aid,45,48.65,2189.4,0.0,0,USA,Walmart,3
2021-03-22,Biotin,Vitamin,81,35.47,2585.61,0.1,0,Canada,iHerb,3
2021-03-22,Green Tea Extract,Fat Burner,66,32.76,2161.91,0.0,3,USA,Walmart,3
2021-03-22,Iron Supplement,Mineral,52,39.97,2078.21,0.0,2,Canada,Walmart,3
2021-03-22,Electrolyte Powder,Hydration,109,33.51,2557.09,0.3,5,USA,Walmart,3
2021-03-29,Whey Protein,Protein,85,40.66,3110.53,0.1,2,Canada,Walmart,3
2021-03-29,Vitamin C,Vitamin,75,35.2,2376.2,0.1,2,Canada,Walmart,3
2021-03-29,Fish Oil,Omega,76,35.84,2179.32,0.2,3,USA,Amazon,3
2021-03-29,Multivitamin,Vitamin,109,13.91,1364.15,0.1,3,USA,iHerb,3
2021-03-29,Pre-Workout,Performance,98,38.29,2814.55,0.25,3,Canada,iHerb,3
2021-03-29,BCAA,Amino Acid,111,23.98,2129.79,0.2,3,USA,Amazon,3
2021-03-29,Creatine,Performance,75,43.26,2919.96,0.1,3,Canada,iHerb,3
2021-03-29,Zinc,Mineral,96,30.32,2328.91,0.2,2,UK,Amazon,3
2021-03-29,Magnesium,Mineral,50,37.6,1786.01,0.05,0,Canada,iHerb,3
2021-03-29,Probiotic,Digestive,80,21.63,1557.28,0.1,2,USA,Walmart,3
2021-03-29,Ashwagandha,Herbal,81,36.08,2191.64,0.25,0,UK,Walmart,3
2021-03-29,Melatonin,Sleep Aid,77,24.16,1767.47,0.05,1,USA,Amazon,3
2021-03-29,Biotin,Vitamin,68,38.1,2331.83,0.1,3,USA,Walmart,3
2021-03-29,Green Tea Extract,Fat Burner,123,20.22,1865.61,0.25,5,USA,Walmart,3
2021-03-29,Iron Supplement,Mineral,105,33.5,2462.4,0.3,1,UK,iHerb,3
2021-03-29,Electrolyte Powder,Hydration,120,16.12,1353.68,0.3,2,USA,Walmart,3
2021-04-05,Whey Protein,Protein,139,16.73,1744.49,0.25,3,USA,iHerb,4
2021-04-05,Vitamin C,Vitamin,70,30.37,2125.72,0.0,1,UK,iHerb,4
2021-04-05,Fish Oil,Omega,80,39.86,2551.21,0.2,1,Canada,Walmart,4
2021-04-05,Multivitamin,Vitamin,83,50.33,2924.03,0.3,2,Canada,Amazon,4
2021-04-05,Pre-Workout,Performance,117,23.91,2238.23,0.2,1,Canada,Walmart,4
2021-04-05,BCAA,Amino Acid,80,48.39,2903.39,0.25,2,USA,Walmart,4
2021-04-05,Creatine,Performance,75,27.88,2091.37,0.0,3,USA,Walmart,4
2021-04-05,Zinc,Mineral,85,45.61,2907.7,0.25,2,USA,Amazon,4
2021-04-05,Magnesium,Mineral,59,31.92,1883.03,0.0,1,Canada,Walmart,4
2021-04-05,Probiotic,Digestive,87,29.17,2283.98,0.1,2,UK,Amazon,4
2021-04-05,Ashwagandha,Herbal,65,31.57,2052.34,0.0,2,USA,Amazon,4
2021-04-05,Melatonin,Sleep Aid,95,32.18,2293.11,0.25,2,Canada,Walmart,4
2021-04-05,Biotin,Vitamin,65,40.22,2483.61,0.05,1,Canada,Amazon,4
2021-04-05,Green Tea Extract,Fat Burner,96,41.5,2987.96,0.25,2,UK,Walmart,4
2021-04-05,Iron Supplement,Mineral,43,46.64,2005.5,0.0,2,UK,Amazon,4
2021-04-05,Electrolyte Powder,Hydration,81,15.16,1228.27,0.0,1,Canada,iHerb,4
2021-04-12,Whey Protein,Protein,74,35.84,2652.24,0.0,3,UK,iHerb,4
2021-04-12,Vitamin C,Vitamin,68,32.21,2190.02,0.0,2,Canada,Amazon,4
2021-04-12,Fish Oil,Omega,82,45.48,2796.78,0.25,2,USA,Walmart,4
2021-04-12,Multivitamin,Vitamin,108,24.02,2075.57,0.2,3,USA,Walmart,4
2021-04-12,Pre-Workout,Performance,66,43.84,2893.74,0.0,2,Canada,Amazon,4
2021-04-12,BCAA,Amino Acid,76,46.85,2848.41,0.2,1,Canada,iHerb,4
2021-04-12,Creatine,Performance,95,21.36,1927.74,0.05,2,UK,Walmart,4
2021-04-12,Zinc,Mineral,63,39.4,2482.0,0.0,1,Canada,Amazon,4
2021-04-12,Magnesium,Mineral,78,30.78,2280.76,0.05,3,USA,Amazon,4
2021-04-12,Probiotic,Digestive,47,50.83,2389.1,0.0,0,USA,iHerb,4
2021-04-12,Ashwagandha,Herbal,49,32.48,1591.36,0.0,1,USA,Amazon,4
2021-04-12,Melatonin,Sleep Aid,71,43.07,2599.48,0.15,1,USA,Amazon,4
2021-04-12,Biotin,Vitamin,83,31.31,2208.8,0.15,4,Canada,iHerb,4
2021-04-12,Green Tea Extract,Fat Burner,67,34.0,2278.1,0.0,2,Canada,Walmart,4
2021-04-12,Iron Supplement,Mineral,67,35.87,2283.23,0.05,1,USA,Amazon,4
2021-04-12,Electrolyte Powder,Hydration,71,25.49,1809.78,0.0,1,UK,Amazon,4
2021-04-19,Whey Protein,Protein,101,49.88,3778.63,0.25,3,UK,Walmart,4
2021-04-19,Vitamin C,Vitamin,123,17.06,1574.19,0.25,5,Canada,Walmart,4
2021-04-19,Fish Oil,Omega,78,14.12,1101.71,0.0,1,Canada,Amazon,4
2021-04-19,Multivitamin,Vitamin,65,32.69,2018.41,0.05,2,UK,Amazon,4
2021-04-19,Pre-Workout,Performance,95,47.68,3397.29,0.25,1,UK,Walmart,4
2021-04-19,BCAA,Amino Acid,121,18.2,1651.26,0.25,5,UK,Amazon,4
2021-04-19,Creatine,Performance,71,41.64,2808.4,0.05,1,Canada,iHerb,4
2021-04-19,Zinc,Mineral,105,27.21,2143.15,0.25,1,Canada,iHerb,4
2021-04-19,Magnesium,Mineral,65,52.23,2715.77,0.2,1,Canada,Amazon,4
2021-04-19,Probiotic,Digestive,61,28.21,1720.8,0.0,0,UK,iHerb,4
2021-04-19,Ashwagandha,Herbal,43,49.72,2031.25,0.05,0,USA,iHerb,4
2021-04-19,Melatonin,Sleep Aid,69,24.82,1712.54,0.0,1,Canada,Walmart,4
2021-04-19,Biotin,Vitamin,101,21.55,1741.58,0.2,3,USA,iHerb,4
2021-04-19,Green Tea Extract,Fat Burner,69,28.64,1976.4,0.0,2,UK,Amazon,4
2021-04-19,Iron Supplement,Mineral,70,21.55,1508.21,0.0,2,USA,iHerb,4
2021-04-19,Electrolyte Powder,Hydration,81,39.49,2718.61,0.15,1,Canada,iHerb,4
2021-04-26,Whey Protein,Protein,68,45.72,3109.04,0.0,1,UK,Walmart,4
2021-04-26,Vitamin C,Vitamin,80,17.4,1391.83,0.0,2,UK,Amazon,4
2021-04-26,Fish Oil,Omega,98,13.44,1185.06,0.1,2,USA,Amazon,4
2021-04-26,Multivitamin,Vitamin,93,31.2,2321.42,0.2,2,UK,Amazon,4
2021-04-26,Pre-Workout,Performance,113,31.75,2690.73,0.25,5,USA,Amazon,4
2021-04-26,BCAA,Amino Acid,40,48.65,1945.98,0.0,1,USA,Amazon,4
2021-04-26,Creatine,Performance,95,38.63,3119.41,0.15,1,UK,iHerb,4
2021-04-26,Zinc,Mineral,78,18.64,1453.85,0.0,0,USA,iHerb,4
2021-04-26,Magnesium,Mineral,55,37.82,2080.11,0.0,1,UK,iHerb,4
2021-04-26,Probiotic,Digestive,85,27.78,2007.07,0.15,1,Canada,iHerb,4
2021-04-26,Ashwagandha,Herbal,73,20.82,1519.51,0.0,0,UK,Walmart,4
2021-04-26,Melatonin,Sleep Aid,46,40.66,1870.55,0.0,2,USA,iHerb,4
2021-04-26,Biotin,Vitamin,56,44.79,2382.91,0.05,0,UK,Walmart,4
2021-04-26,Green Tea Extract,Fat Burner,39,51.94,2025.57,0.0,0,USA,Amazon,4
2021-04-26,Iron Supplement,Mineral,72,20.77,1420.8,0.05,2,USA,Walmart,4
2021-04-26,Electrolyte Powder,Hydration,53,47.4,2512.17,0.0,2,Canada,Walmart,4
2021-05-03,Whey Protein,Protein,67,46.82,2980.29,0.05,2,Canada,Walmart,5
2021-05-03,Vitamin C,Vitamin,107,21.03,1799.9,0.2,2,Canada,iHerb,5
2021-05-03,Fish Oil,Omega,108,21.57,1747.0,0.25,2,USA,Amazon,5
2021-05-03,Multivitamin,Vitamin,74,45.04,2999.82,0.1,2,UK,iHerb,5
2021-05-03,Pre-Workout,Performance,95,36.28,2929.81,0.15,3,UK,Walmart,5
2021-05-03,BCAA,Amino Acid,98,35.72,2625.77,0.25,2,UK,Walmart,5
2021-05-03,Creatine,Performance,99,40.21,2985.92,0.25,3,UK,Walmart,5
2021-05-03,Zinc,Mineral,112,31.41,2638.61,0.25,4,Canada,Amazon,5
2021-05-03,Magnesium,Mineral,75,21.84,1638.37,0.0,1,USA,Walmart,5
2021-05-03,Probiotic,Digestive,76,49.14,2800.79,0.25,2,UK,Walmart,5
2021-05-03,Ashwagandha,Herbal,99,26.39,2090.12,0.2,1,USA,Walmart,5
2021-05-03,Melatonin,Sleep Aid,79,30.71,2183.17,0.1,2,UK,iHerb,5
2021-05-03,Biotin,Vitamin,62,35.37,2192.64,0.0,2,Canada,Walmart,5
2021-05-03,Green Tea Extract,Fat Burner,63,40.45,2293.29,0.1,1,UK,Walmart,5
2021-05-03,Iron Supplement,Mineral,46,39.47,1815.44,0.0,1,Canada,iHerb,5
2021-05-03,Electrolyte Powder,Hydration,73,38.92,2414.89,0.15,2,UK,iHerb,5
2021-05-10,Whey Protein,Protein,110,39.61,3050.31,0.3,1,UK,iHerb,5
2021-05-10,Vitamin C,Vitamin,107,38.86,2910.83,0.3,4,UK,Amazon,5
2021-05-10,Fish Oil,Omega,48,43.68,1991.75,0.05,1,UK,Walmart,5
2021-05-10,Multivitamin,Vitamin,52,49.63,2580.54,0.0,2,USA,Walmart,5
2021-05-10,Pre-Workout,Performance,63,41.38,2606.87,0.0,2,UK,Amazon,5
2021-05-10,BCAA,Amino Acid,78,17.21,1342.63,0.0,1,USA,Amazon,5
2021-05-10,Creatine,Performance,124,23.91,2371.93,0.2,1,Canada,Walmart,5
2021-05-10,Zinc,Mineral,89,12.34,1098.65,0.0,4,USA,iHerb,5
2021-05-10,Magnesium,Mineral,40,50.12,2004.94,0.0,1,Canada,iHerb,5
2021-05-10,Probiotic,Digestive,66,30.63,2021.67,0.0,1,Canada,Amazon,5
2021-05-10,Ashwagandha,Herbal,92,19.76,1545.18,0.15,2,USA,Amazon,5
